timeSec[s]	codePseudorange1[m]	codePseudorange2[m]	codePseudorange3[m]	codePseudorange4[m]	codePseudorange5[m]
19990.985000000001	1394.691995954420	2182.963186071919	1745.430254498920	1278.895255800635	2387.345508231954
19991.985000000001	1394.662434478497	2182.942066517553	1745.440738191773	1278.841912264152	2387.350520123448
19992.985000000001	1397.065510457645	2184.732132111592	1748.243221109698	1281.823730013997	2388.846003185892
19993.985000000001	1398.690207937149	2185.659161564588	1749.618687446328	1283.340300676476	2389.774621793128
19994.985000000001	1400.436346993689	2186.638768274162	1750.845138123969	1284.841308810652	2390.605661321418
19995.985000000001	1401.965048434927	2187.659244525455	1751.645292071928	1286.319999178288	2391.303197902088
19996.985000000001	1403.510840255935	2188.595520795570	1752.453840201203	1288.034288075292	2392.265470445266
19997.985000000001	1405.013667679142	2189.364861621146	1753.550483420821	1289.678910168641	2393.234948750154
19998.985000000001	1406.628955444057	2190.472110147322	1754.503189169076	1291.409428010351	2393.942800051153
19999.985000000001	1408.222745080407	2191.412705983888	1755.883339361694	1292.976557248047	2394.938820030692
20000.985000000001	1409.603108563776	2192.367421879212	1756.989273804902	1294.561800692023	2395.704027296802
20001.985000000001	1410.936284764137	2193.413818775258	1758.256431826597	1296.269945770917	2396.584790525028
20002.985000000001	1412.692560598821	2194.327296052829	1759.373379101306	1297.836048601298	2397.579389496797
20003.985000000001	1414.257951433872	2195.178657129420	1760.385570486970	1299.581282688282	2398.686444938692
20004.985000000001	1416.247962276505	2195.392614996482	1762.364118145314	1300.715218083771	2398.624502412899
20005.985000000001	1419.443538225663	2193.847451482227	1766.068259138478	1300.939957495413	2396.099011253531
20006.985000000001	1423.511358290838	2190.742460952717	1770.783467062843	1300.654228972511	2391.110647925209
20007.985000000001	1428.481421005698	2186.593771694309	1776.581142882842	1299.668788741955	2384.480281822018
20008.985000000001	1433.907755481543	2181.624623576677	1783.490852424788	1298.045681919346	2376.485475747178
20009.985000000001	1439.717550272597	2176.358284454267	1791.132353829912	1296.001325324919	2367.564849319504
20010.985000000001	1445.802073986072	2170.597895142100	1798.918113414085	1294.017696689689	2358.170107888854
20011.985000000001	1452.171997816101	2164.740919125798	1806.726910915542	1292.114232558930	2348.418336320727
20012.985000000001	1458.218090076713	2158.572617322895	1814.276167244459	1289.934117194497	2338.719973519176
20013.985000000001	1463.429405546651	2151.752361878758	1821.289712989364	1286.800768341642	2328.291296210125
20014.985000000001	1468.152363264312	2144.516287055496	1827.874163184717	1282.990234520952	2317.569922153275
20015.985000000001	1473.140970164517	2136.484060536543	1834.806445287152	1278.910282390866	2305.977420259856
20016.985000000001	1478.914533493451	2127.825746376875	1842.646897360237	1274.538022342389	2293.197835307961
20017.985000000001	1485.441909311211	2118.814075284590	1851.269037831050	1270.082232868782	2279.299690071012
20018.985000000001	1492.461049883389	2109.548887905870	1860.292142251988	1265.703561414562	2264.695917065811
20019.985000000001	1499.836679981510	2100.228864215554	1869.550303407603	1261.539731226738	2249.999359566031
20020.985000000001	1507.264179992997	2091.006903032109	1879.054368148718	1257.566464695784	2235.547291505247
20021.985000000001	1515.034788482743	2081.801876639270	1888.854950122694	1253.931245105745	2221.048830290881
20022.985000000001	1523.938036446623	2071.824299173572	1897.683684181537	1251.795436328614	2206.489699388000
20023.985000000001	1534.394654650539	2060.304064462110	1904.601301319000	1251.667099513539	2192.070109553775
20024.985000000001	1545.930833438041	2047.689309222277	1910.339458756396	1253.188485394437	2178.444640045841
20025.985000000001	1558.203955423968	2034.461485631306	1915.040109797049	1255.878841779139	2165.098852449091
20026.985000000001	1570.264275577698	2021.378383185145	1919.875790963710	1258.619584612657	2150.967914165281
20027.985000000001	1581.879419944834	2008.516856885175	1925.086977059967	1261.196946439094	2137.820112129819
20028.985000000001	1593.505945240685	1996.229020396316	1930.831015605386	1263.667478549927	2124.731608318142
20029.985000000001	1605.156274182096	1984.162518948183	1937.055362588043	1266.105170071816	2111.577030178053
20030.985000000001	1616.624348392130	1971.919968061753	1943.281172592389	1268.501759609321	2097.730590537903
